,,,,,,,,,
,,,,,,,,,
,,,,,,Age,Gender,Income,Location
,,,,,,72,m,72,rural
,,,,,,29,m,68,suburban
,,,,,,33,m,57,suburban
,,,,,,25,m,62,suburban
,,,,,,38,m,164,urban
,,,,,,33,m,44,urban
,,,,,,18,f,62,rural
,,,,,,17,m,68,urban
,,,,,,32,f,53,urban
,,,,,,24,f,92,urban
,,,,,,26,f,54,suburban
,,,,,,40,m,88,urban
,,,,,,26,f,46,rural
,,,,,,21,m,83,suburban
,,,,,,29,m,144,rural
,,,,,,51,f,30,suburban
,,,,,,17,m,47,urban
,,,,,,29,m,61,urban
,,,,,,92,m,123,urban
,,,,,,20,m,76,suburban
,,,,,,20,f,57,rural
,,,,,,65,m,104,urban
,,,,,,26,m,46,urban
,,,,,,74,m,113,urban
,,,,,,37,f,109,rural
,,,,,,21,m,131,suburban
,,,,,,13,f,109,urban
,,,,,,17,m,59,suburban
,,,,,,43,m,112,suburban
,,,,,,27,m,114,urban
,,,,,,46,m,83,rural
,,,,,,18,m,69,suburban
,,,,,,35,m,43,urban
,,,,,,40,m,87,rural
,,,,,,19,m,96,urban
,,,,,,22,f,106,urban
,,,,,,77,m,119,urban
,,,,,,62,f,43,suburban
,,,,,,23,m,136,suburban
,,,,,,35,m,75,suburban
,,,,,,90,f,56,suburban
,,,,,,19,m,46,urban
,,,,,,36,m,161,urban
,,,,,,47,m,85,rural
,,,,,,27,m,51,rural
,,,,,,39,m,60,suburban
,,,,,,43,m,53,urban
,,,,,,28,m,118,urban
,,,,,,34,m,84,suburban
,,,,,,23,m,43,urban
,,,,,,16,m,113,urban
,,,,,,41,m,65,suburban
,,,,,,20,f,109,urban
,,,,,,38,m,70,urban
,,,,,,44,f,105,urban
,,,,,,17,m,46,suburban
,,,,,,20,f,114,suburban
,,,,,,19,m,83,urban
,,,,,,20,m,94,urban
,,,,,,34,m,53,urban
,,,,,,34,m,83,urban
,,,,,,38,m,113,urban
,,,,,,24,m,91,rural
,,,,,,49,f,66,suburban
,,,,,,13,m,79,rural
,,,,,,28,m,121,rural
,,,,,,45,f,65,suburban
,,,,,,11,m,70,urban
,,,,,,29,m,68,rural
,,,,,,24,m,84,suburban
,,,,,,76,m,58,rural
,,,,,,53,m,123,suburban
,,,,,,20,m,45,urban
,,,,,,21,m,87,urban
,,,,,,24,m,74,urban
,,,,,,23,m,151,suburban
,,,,,,27,m,55,suburban
,,,,,,9,m,87,urban
,,,,,,30,m,88,suburban
,,,,,,26,m,49,suburban
,,,,,,43,m,55,suburban
,,,,,,78,f,55,suburban
,,,,,,29,m,62,urban
,,,,,,46,m,76,urban
,,,,,,35,m,114,suburban
,,,,,,35,m,73,suburban
,,,,,,54,f,66,rural
,,,,,,31,f,109,suburban
,,,,,,11,m,76,suburban
,,,,,,28,m,53,urban
,,,,,,20,m,107,suburban
,,,,,,41,m,135,suburban
,,,,,,57,f,123,suburban
,,,,,,19,m,55,urban
,,,,,,30,m,99,suburban
,,,,,,84,m,71,urban
,,,,,,34,m,84,urban
,,,,,,27,m,90,rural
,,,,,,36,m,72,suburban
,,,,,,31,m,120,urban
,,,,,,38,f,66,suburban
,,,,,,29,m,75,suburban
,,,,,,69,m,84,suburban
,,,,,,27,m,87,rural
,,,,,,39,m,135,urban
,,,,,,34,m,59,urban
,,,,,,17,f,107,urban
,,,,,,36,m,111,suburban
,,,,,,15,m,80,suburban
,,,,,,46,m,60,rural
,,,,,,30,m,94,suburban
,,,,,,28,m,49,rural
,,,,,,25,m,101,urban
,,,,,,54,m,69,suburban
,,,,,,32,m,85,urban
,,,,,,41,f,64,suburban
,,,,,,19,m,60,urban
,,,,,,34,m,78,urban
,,,,,,38,m,34,rural
,,,,,,33,m,45,rural
,,,,,,31,m,88,rural
,,,,,,27,m,54,suburban
,,,,,,30,m,120,suburban
,,,,,,34,m,88,suburban
,,,,,,49,m,79,urban
,,,,,,39,f,132,suburban
,,,,,,50,f,97,suburban
,,,,,,28,m,74,urban
,,,,,,51,m,57,suburban
,,,,,,39,m,89,suburban
,,,,,,47,m,84,suburban
,,,,,,32,m,52,urban
,,,,,,25,m,133,suburban
,,,,,,16,m,99,rural
,,,,,,23,m,102,rural
,,,,,,19,m,36,urban
,,,,,,83,m,74,suburban
,,,,,,67,f,92,suburban
,,,,,,13,m,120,rural
,,,,,,32,m,52,suburban
,,,,,,42,m,97,urban
,,,,,,25,m,67,urban
,,,,,,50,m,50,suburban
,,,,,,62,m,128,suburban
,,,,,,26,m,78,urban
,,,,,,25,m,133,suburban
,,,,,,60,f,86,suburban
,,,,,,28,m,92,urban
,,,,,,45,m,68,urban
,,,,,,34,m,90,urban
,,,,,,35,m,127,rural
,,,,,,24,m,68,rural
,,,,,,50,f,67,suburban
,,,,,,32,f,131,suburban
,,,,,,32,m,81,urban
,,,,,,20,m,105,rural
,,,,,,91,m,106,rural
,,,,,,25,m,93,suburban
,,,,,,19,m,131,suburban
,,,,,,29,m,101,suburban
,,,,,,29,m,74,suburban
,,,,,,16,m,93,urban
,,,,,,35,m,124,urban
,,,,,,38,m,88,urban
,,,,,,24,f,58,suburban
,,,,,,41,m,99,suburban
,,,,,,37,m,133,urban
,,,,,,39,m,105,rural
,,,,,,22,f,51,rural
,,,,,,48,f,111,urban
,,,,,,17,m,161,rural
,,,,,,42,m,95,suburban
,,,,,,21,f,40,suburban
,,,,,,18,m,69,rural
,,,,,,25,f,83,urban
,,,,,,41,m,69,urban
,,,,,,27,m,79,suburban
,,,,,,19,m,65,suburban
,,,,,,70,m,179,suburban
,,,,,,13,m,98,urban
,,,,,,30,m,47,urban
,,,,,,34,m,88,rural
,,,,,,55,m,55,suburban
,,,,,,27,m,101,urban
,,,,,,43,m,46,urban
,,,,,,36,m,78,suburban
,,,,,,24,f,40,urban
,,,,,,18,m,60,urban
,,,,,,17,m,109,rural
,,,,,,18,f,82,suburban
,,,,,,18,m,41,suburban
,,,,,,18,m,99,suburban
,,,,,,52,m,54,suburban
,,,,,,31,m,89,suburban
,,,,,,25,m,112,rural
,,,,,,31,m,62,suburban
,,,,,,49,m,60,rural
,,,,,,36,m,80,suburban
,,,,,,13,m,72,rural
,,,,,,29,m,81,suburban
,,,,,,35,m,88,rural
,,,,,,19,m,118,urban
,,,,,,49,m,96,suburban
,,,,,,17,m,47,suburban
,,,,,,12,m,41,urban
,,,,,,85,f,88,suburban
,,,,,,31,f,89,urban
,,,,,,41,m,99,urban
,,,,,,40,m,65,suburban
,,,,,,63,m,76,suburban
,,,,,,21,f,131,suburban
,,,,,,24,m,79,urban
,,,,,,51,f,88,suburban
,,,,,,40,m,65,urban
,,,,,,13,f,95,urban
,,,,,,28,m,99,rural
,,,,,,38,m,59,urban
,,,,,,15,f,107,suburban
,,,,,,27,m,61,urban
,,,,,,25,f,61,urban
,,,,,,27,m,62,urban
,,,,,,16,m,82,urban
,,,,,,53,m,84,urban
,,,,,,102,m,33,urban
,,,,,,37,m,108,suburban
,,,,,,37,m,123,suburban
,,,,,,35,m,84,rural
,,,,,,22,m,46,suburban
,,,,,,26,m,30,urban
,,,,,,34,m,80,suburban
,,,,,,29,m,43,urban
,,,,,,37,m,87,urban
,,,,,,72,m,84,urban
,,,,,,66,m,54,suburban
,,,,,,15,m,74,urban
,,,,,,41,f,114,suburban
,,,,,,62,f,49,urban
,,,,,,34,m,145,suburban
,,,,,,33,m,95,suburban
,,,,,,19,m,100,suburban
,,,,,,49,f,72,urban
,,,,,,46,m,53,suburban
,,,,,,35,m,80,urban
,,,,,,45,f,69,suburban
,,,,,,35,f,105,urban
,,,,,,20,m,48,rural
,,,,,,29,m,126,urban
,,,,,,31,m,95,suburban
,,,,,,88,f,51,suburban
,,,,,,20,m,61,urban
,,,,,,29,m,64,urban
,,,,,,16,f,87,rural
,,,,,,37,f,70,suburban
,,,,,,24,m,162,suburban
,,,,,,33,f,51,urban
,,,,,,22,m,89,urban
,,,,,,50,m,81,urban
,,,,,,19,f,77,suburban
,,,,,,23,m,112,suburban
,,,,,,50,m,83,urban
,,,,,,26,m,124,urban
,,,,,,42,f,146,suburban
,,,,,,32,m,54,rural
,,,,,,28,m,61,suburban
,,,,,,16,f,51,suburban
,,,,,,41,m,107,suburban
,,,,,,27,m,80,urban
,,,,,,23,f,85,rural
,,,,,,39,f,72,suburban
,,,,,,16,m,89,suburban
,,,,,,34,m,94,urban
,,,,,,31,m,73,suburban
,,,,,,29,m,112,suburban
,,,,,,35,m,60,urban
,,,,,,25,m,99,urban
,,,,,,22,m,178,suburban
,,,,,,42,f,33,suburban
,,,,,,30,m,85,urban
,,,,,,25,m,63,urban
,,,,,,26,m,69,suburban
,,,,,,53,f,94,urban
,,,,,,34,f,59,urban
,,,,,,41,m,63,rural
,,,,,,32,m,93,suburban
,,,,,,25,m,69,suburban
